variable,transform,test,exo,lags,stat,p_value,n_countries,method
trade_open,diff,madwu,intercept,2,1179.36128538717,5.34927258149972e-128,114,plm::purtest madwu
trade_open,diff,ips,trend,0,-37.252073827935,4.90375169942133e-304,114,plm::purtest ips
trade_open,diff,ips,trend,1,-25.8988358816252,3.43192677137472e-148,114,plm::purtest ips
trade_open,diff,ips,trend,2,-19.847392383329,5.80350548427184e-88,114,plm::purtest ips
trade_open,diff,madwu,trend,0,2281.25687492304,0,114,plm::purtest madwu
trade_open,diff,madwu,trend,1,1503.16292078427,1.99396003583455e-186,114,plm::purtest madwu
trade_open,diff,madwu,trend,2,1049.20004425168,1.84599967942971e-105,114,plm::purtest madwu
gov_size,level,ips,intercept,0,-0.0469830797412803,0.48126335652287,112,plm::purtest ips
gov_size,level,ips,intercept,1,-2.50501218587904,0.00612235873070817,112,plm::purtest ips
gov_size,level,ips,intercept,2,-2.76195291712451,0.00287283817165645,112,plm::purtest ips
gov_size,level,madwu,intercept,0,260.296398591464,0.048337082708619,112,plm::purtest madwu
gov_size,level,madwu,intercept,1,338.488184383376,1.1679122618732e-06,112,plm::purtest madwu
gov_size,level,madwu,intercept,2,411.355417899965,3.34707726032794e-13,112,plm::purtest madwu
gov_size,level,ips,trend,0,-0.0449484668175106,0.482074192461789,112,plm::purtest ips
gov_size,level,ips,trend,1,-4.35391805863371,6.68628542652694e-06,112,plm::purtest ips
gov_size,level,ips,trend,2,-5.08079914791163,1.87925174793258e-07,112,plm::purtest ips
gov_size,level,madwu,trend,0,261.260118870241,0.0443444418407767,112,plm::purtest madwu
gov_size,level,madwu,trend,1,387.553148341125,7.09366966498142e-11,112,plm::purtest madwu
gov_size,level,madwu,trend,2,476.124285717513,2.79958216248637e-20,112,plm::purtest madwu
gov_size,diff,ips,intercept,0,-34.3093564364949,2.84561749840203e-258,112,plm::purtest ips
gov_size,diff,ips,intercept,1,-24.370270561006,1.76760291565192e-131,112,plm::purtest ips
gov_size,diff,ips,intercept,2,-16.7602716225375,2.38221286768162e-63,112,plm::purtest ips
gov_size,diff,madwu,intercept,0,2074.28558782239,1.3663158028293e-296,112,plm::purtest madwu
gov_size,diff,madwu,intercept,1,1352.11366942063,2.24845096550661e-160,112,plm::purtest madwu
gov_size,diff,madwu,intercept,2,866.160338744819,2.861912442779e-76,112,plm::purtest madwu
gov_size,diff,ips,trend,0,-30.5546522385937,2.45231770316002e-205,112,plm::purtest ips
gov_size,diff,ips,trend,1,-20.5055069108493,9.61280065632995e-94,112,plm::purtest ips
gov_size,diff,ips,trend,2,-13.1708346090342,6.4580944885989e-40,112,plm::purtest ips
gov_size,diff,madwu,trend,0,1848.49440898982,4.13309706969382e-253,112,plm::purtest madwu
gov_size,diff,madwu,trend,1,1196.39844675259,1.89654692290585e-132,112,plm::purtest madwu
gov_size,diff,madwu,trend,2,723.621977448127,5.90331848221297e-54,112,plm::purtest madwu
v2x_polyarchy,level,ips,intercept,0,3.04472395253623,0.998835530178749,128,plm::purtest ips
v2x_polyarchy,level,ips,intercept,1,-0.739770024031087,0.229719775346,128,plm::purtest ips
v2x_polyarchy,level,ips,intercept,2,-0.503482753109006,0.307312451570937,128,plm::purtest ips
v2x_polyarchy,level,madwu,intercept,0,458.617353033205,1.12833805502725e-13,128,plm::purtest madwu
v2x_polyarchy,level,madwu,intercept,1,358.309111581829,2.47340496946814e-05,128,plm::purtest madwu
v2x_polyarchy,level,madwu,intercept,2,409.370595900258,3.52855739491918e-09,128,plm::purtest madwu
v2x_polyarchy,level,ips,trend,0,7.45149702053068,0.999999999999954,128,plm::purtest ips
v2x_polyarchy,level,ips,trend,1,3.02135494730269,0.998741769109005,128,plm::purtest ips
v2x_polyarchy,level,ips,trend,2,4.06504979150478,0.999975988895632,128,plm::purtest ips
v2x_polyarchy,level,madwu,trend,0,413.768277421818,1.49609434360424e-09,128,plm::purtest madwu
v2x_polyarchy,level,madwu,trend,1,300.232051312251,0.0299572922583797,128,plm::purtest madwu
v2x_polyarchy,level,madwu,trend,2,294.999726501023,0.0472437217296702,128,plm::purtest madwu
v2x_polyarchy,diff,ips,intercept,0,-32.328447052511,1.39361522288135e-229,128,plm::purtest ips
v2x_polyarchy,diff,ips,intercept,1,-22.6315628340612,1.05978952945976e-113,128,plm::purtest ips
v2x_polyarchy,diff,ips,intercept,2,-12.6469477802511,5.81530144632181e-37,128,plm::purtest ips
v2x_polyarchy,diff,madwu,intercept,0,2126.81823908868,1.36287983157011e-291,128,plm::purtest madwu
v2x_polyarchy,diff,madwu,intercept,1,1360.27565456256,9.33982547509102e-150,128,plm::purtest madwu
v2x_polyarchy,diff,madwu,intercept,2,735.406149038308,6.77426656952234e-48,128,plm::purtest madwu
v2x_polyarchy,diff,ips,trend,0,-30.0996928366645,2.44519491862241e-199,128,plm::purtest ips
v2x_polyarchy,diff,ips,trend,1,-21.2309014704261,2.47519222313198e-100,128,plm::purtest ips
v2x_polyarchy,diff,ips,trend,2,-11.9069779780757,5.4425598792843e-33,128,plm::purtest ips
v2x_polyarchy,diff,madwu,trend,0,1994.878633817,1.80433534399267e-266,128,plm::purtest madwu
v2x_polyarchy,diff,madwu,trend,1,1322.70033302433,3.86840175907535e-143,128,plm::purtest madwu
v2x_polyarchy,diff,madwu,trend,2,752.31206338697,2.56047404665168e-50,128,plm::purtest madwu
