direction,lags,imp,Wbar,Ztilde,p_asym
gini_to_corr,1,37,1.047212469098523,0.37324734077912264,0.35448218247506413
gini_to_corr,1,38,1.2457746813318535,1.9430194605268072,0.026006903525738867
gini_to_corr,1,39,1.06788588598872,0.5366850517571664,0.2957425916324644
gini_to_corr,1,40,0.9353711905261456,-0.5109356010061208,0.6953019243110922
gini_to_corr,1,41,1.0855225880831147,0.6761154243375406,0.24948368219362016
gini_to_corr,1,42,0.7763126496478961,-1.7684037772017887,0.9615032872150786
gini_to_corr,1,43,1.0256940599083797,0.20312937911824278,0.419516954585172
gini_to_corr,1,44,0.9561744057680733,-0.3464717439580647,0.6355058921048876
gini_to_corr,1,45,0.9679406350034666,-0.2534515343193041,0.6000403456742158
gini_to_corr,1,46,1.1804206053591415,1.4263501244031713,0.07688365137944131
gini_to_corr,1,47,1.1517671724832375,1.1998248477266575,0.11510368592514753
gini_to_corr,1,48,0.9283883917509559,-0.5661394724367046,0.7143505139489614
gini_to_corr,1,49,1.1342865650822687,1.0616285120510134,0.14420218233426818
gini_to_corr,1,50,1.0377530728593283,0.2984642472644074,0.38267442990992817
gini_to_corr,1,51,0.9909709910907998,-0.0713805829175628,0.5284525686138848
gini_to_corr,1,52,0.9940324486710387,-0.04717763563370625,0.5188141740751508
gini_to_corr,1,53,0.9898270579379672,-0.08042416855238381,0.53205004728202
gini_to_corr,1,54,0.8482712170931191,-1.199521351477418,0.8848373562150784
gini_to_corr,1,55,1.0142001742921658,0.11226223483653311,0.4553077423516084
gini_to_corr,1,56,1.1200109498283128,0.9487698640441548,0.17136883609520703
gini_to_corr,1,57,1.2536906210191743,2.005600458607944,0.02244944647149505
gini_to_corr,1,58,1.0927648266827739,0.7333703476708184,0.2316662897484072
gini_to_corr,1,59,1.180371608655047,1.4259627714462222,0.07693954424129712
gini_to_corr,1,60,1.0656877963114453,0.5193076270534357,0.30177311775652627
gini_to_corr,1,61,1.1798272360500766,1.4216591281274573,0.07756261536501574
gini_to_corr,1,62,1.249235725249291,1.970381415179242,0.024397336955142013
gini_to_corr,1,63,0.9760963268552104,-0.18897512895433732,0.5749438451111111
gini_to_corr,1,64,1.080331799496369,0.6350786373712332,0.2626885644884325
gini_to_corr,1,65,0.8267696179785228,-1.3695064178223786,0.9145794849723807
gini_to_corr,1,66,1.0764930328332454,0.6047305222177455,0.2726790321683177
gini_to_corr,1,67,1.4568336950662575,3.611587470800499,0.00015216420064778635
gini_to_corr,1,68,1.3838154379862535,3.0343274629291783,0.0012053630215254074
gini_to_corr,1,69,1.084480257048322,0.6678750739729779,0.2521066697863352
gini_to_corr,1,70,0.9547648443466648,-0.3576153054419535,0.6396843886265438
gini_to_corr,1,71,0.8682239454809727,-1.041781183376626,0.8512434300161886
gini_to_corr,1,72,0.982964987080936,-0.13467360198658918,0.5535650272108441
gini_to_corr,1,73,1.0791116571368629,0.6254325650570043,0.2658435972717762
gini_to_corr,1,74,1.0098879372755054,0.07817100787869237,0.46884601189464414
gini_to_corr,1,75,1.0141438488642285,0.11181694323036907,0.4554842765093954
gini_to_corr,1,76,0.8434037101137775,-1.2380023729311327,0.8921424095182783
gini_to_corr,1,77,0.9957215689728875,-0.03382396714402239,0.5134912380696248
gini_to_corr,1,78,0.8563243488261889,-1.135855755042719,0.8719915309399291
gini_to_corr,1,79,1.359196557688303,2.8396981249677573,0.002257812196805653
gini_to_corr,1,80,1.1081371479399464,0.8548992179120393,0.1963034718100758
gini_to_corr,1,81,0.9698672203260583,-0.23822054000420398,0.5941449764951019
gini_to_corr,1,82,0.7930747234880153,-1.6358879480950343,0.949068479613297
gini_to_corr,1,83,1.0279451380271005,0.22092571423355462,0.41257513750543395
gini_to_corr,1,84,1.008353302291255,0.06603865306067233,0.47367352595649126
gini_to_corr,1,85,1.320714776355903,2.5354729313904256,0.0056147803370083516
gini_to_corr,1,86,1.2955806051036156,2.3367698607455383,0.009725576885930343
gini_to_corr,1,87,0.8716626012239139,-1.0145962227843441,0.8448508296859787
gini_to_corr,1,88,1.2923265640049846,2.3110444070668614,0.010415201089659765
gini_to_corr,1,89,1.1190245396363248,0.9409716067594389,0.1733597048934613
gini_to_corr,1,90,1.09324709372451,0.7371830034016127,0.23050553402081875
gini_to_corr,1,91,1.1663896272773624,1.3154255030573658,0.09418346954939683
gini_to_corr,1,92,0.8101304683926321,-1.5010504453715334,0.9333287427355919
gini_to_corr,1,93,0.9873773161818475,-0.09979107762378105,0.5397449041418408
gini_to_corr,1,94,0.9306618591100484,-0.548166134834754,0.7082110834995697
gini_to_corr,1,95,1.28528279622816,2.255358533356697,0.012055416660025853
gini_to_corr,1,96,1.03229887486975,0.25534502612296006,0.3992283132029214
gini_to_corr,1,97,0.9198833717035674,-0.6333775596745568,0.7367564422220814
gini_to_corr,1,98,0.9365476207388245,-0.5016351035553669,0.6920378890320231
gini_to_corr,1,99,0.9290901150125327,-0.5605918629524426,0.7124621000589606
gini_to_corr,1,100,1.2182243648249211,1.725215084475706,0.04224435911223756
corr_to_gini,2,1,2.3571683096278018,2.012541215609162,0.0220814582713591
corr_to_gini,2,2,2.0315047123521137,0.17752003855160772,0.42954996335223683
corr_to_gini,2,3,2.573181764174409,3.2297152164442124,0.0006195678973622831
corr_to_gini,2,4,2.1487273564847973,0.8380360931969769,0.20100521640511737
corr_to_gini,2,5,2.6587710933329265,3.711986593564305,0.0001028194408784211
corr_to_gini,2,6,2.2488921230602728,1.402435889178552,0.08039256126534522
corr_to_gini,2,7,2.1367360009580914,0.7704682363127335,0.22051109494565102
corr_to_gini,2,8,2.2848879076527964,1.605261834616249,0.054218097251626185
corr_to_gini,2,9,2.494850146913129,2.78833896896042,0.0026489539247464
corr_to_gini,2,10,2.6360691454682765,3.5840676138546277,0.0001691422266660858
