spec,lags,equation,regressor,coef,se,t,p,n_obs,n_countries
S1_lag2,2,v2x_corr,d_v2x_corr_l1,0.05920139012316502,0.025465311682332653,2.3247856088185173,0.02014564923428752,3363,128
S1_lag2,2,v2x_corr,d_v2x_corr_l2,-0.017145176836568205,0.017488808531007285,-0.9803513376094302,0.3269867854879649,3363,128
S2_lag2,2,gini_disp,d_gini_disp_l1,0.6038150089901899,0.0414745164603625,14.55869918501064,0.0,3317,127
S2_lag2,2,gini_disp,d_gini_disp_l2,0.018713218622657145,0.03190087903141783,0.58660510903876,0.5575109182971476,3317,127
S2_lag2,2,gini_disp,d_v2x_corr_l1,0.014788227320988402,0.18109165827046864,0.08166156002007288,0.9349210267626786,3317,127
S2_lag2,2,gini_disp,d_v2x_corr_l2,0.14837036382454813,0.15538054078467328,0.9548838166946537,0.3397096098366523,3317,127
S2_lag2,2,gini_disp,d_log_gdp_pc_l1,-0.19861219976938146,0.08202426026243888,-2.4213836142370107,0.015517602553963616,3317,127
S2_lag2,2,gini_disp,d_log_gdp_pc_l2,-0.2800073825573613,0.08882302801091516,-3.152418790799973,0.0016344318146657155,3317,127
S2_lag2,2,v2x_corr,d_gini_disp_l1,0.000976148092277461,0.001938236769006999,0.5036268570931935,0.6145587771505294,3317,127
S2_lag2,2,v2x_corr,d_gini_disp_l2,-0.0012650056887799968,0.0018091461773621152,-0.6992280140814712,0.4844610898527941,3317,127
S2_lag2,2,v2x_corr,d_v2x_corr_l1,0.05711324457803774,0.025432740790037697,2.2456582658369904,0.02479486183535662,3317,127
S2_lag2,2,v2x_corr,d_v2x_corr_l2,-0.02086862225961401,0.01684398515322632,-1.2389361585026575,0.21546130352259363,3317,127
S2_lag2,2,v2x_corr,d_log_gdp_pc_l1,-0.02373583040314458,0.022097948461576256,-1.074119185516984,0.28285140760446636,3317,127
S2_lag2,2,v2x_corr,d_log_gdp_pc_l2,-0.030439236529528898,0.01493833927807769,-2.0376586689391294,0.04166734555420937,3317,127
S2_lag2,2,log_gdp_pc,d_gini_disp_l1,-0.006702848109592693,0.002707193750019389,-2.4759395627094243,0.01334071112024171,3317,127
S2_lag2,2,log_gdp_pc,d_gini_disp_l2,0.0004905461732987769,0.0020255546070322484,0.2421786959461454,0.8086574423343149,3317,127
S2_lag2,2,log_gdp_pc,d_v2x_corr_l1,-0.008671096172286268,0.030007682319986656,-0.2889625423190672,0.7726290268022007,3317,127
S2_lag2,2,log_gdp_pc,d_v2x_corr_l2,-0.04688367804341598,0.028881995741339667,-1.62328387772421,0.10462863681194556,3317,127
S2_lag2,2,log_gdp_pc,d_log_gdp_pc_l1,0.23602142326115416,0.07047867808515479,3.3488344230291163,0.0008210498909591024,3317,127
S2_lag2,2,log_gdp_pc,d_log_gdp_pc_l2,0.09597215114607517,0.037255822454093375,2.576030934878221,0.010039264392029734,3317,127
S3_lag2,2,gini_disp,d_gini_disp_l1,0.5897518668863186,0.041143922880508395,14.333875469266662,0.0,3054,115
S3_lag2,2,gini_disp,d_gini_disp_l2,0.025708784033057507,0.031154944919111416,0.8251911245488011,0.4093308702917742,3054,115
S3_lag2,2,gini_disp,d_v2x_corr_l1,0.14325505572088187,0.21804824299866465,0.6569878929121166,0.5112407629127576,3054,115
S3_lag2,2,gini_disp,d_v2x_corr_l2,0.3292424326539906,0.1793235845296995,1.8360241544215934,0.06645626372680291,3054,115
S3_lag2,2,gini_disp,d_education_years_l1,0.060500111289208534,0.10995447803157857,0.550228716213205,0.5822048275372089,3054,115
S3_lag2,2,gini_disp,d_education_years_l2,-0.06152726164098768,0.15220289731883802,-0.40424500929242496,0.6860623272708246,3054,115
S3_lag2,2,v2x_corr,d_gini_disp_l1,0.0035840351307354417,0.001530583643783838,2.3416133742780345,0.01926785648135887,3054,115
S3_lag2,2,v2x_corr,d_gini_disp_l2,-0.0019061121677687995,0.0014868122244536802,-1.2820127090824724,0.19994052458456513,3054,115
S3_lag2,2,v2x_corr,d_v2x_corr_l1,0.045145891425613385,0.02703763318704068,1.6697427290807434,0.09507805178373152,3054,115
S3_lag2,2,v2x_corr,d_v2x_corr_l2,-0.03289032259536046,0.018363353921470697,-1.7910847188380237,0.07338380811057599,3054,115
S3_lag2,2,v2x_corr,d_education_years_l1,-0.001200966563292221,0.00778173757617202,-0.15433141397232755,0.8773591535756979,3054,115
S3_lag2,2,v2x_corr,d_education_years_l2,-0.007803116112898505,0.006990803800280879,-1.116197269416285,0.2644300519258038,3054,115
